stage,model,fold,pseudo_R2_train,MAPE_val,RMSE_val
nb1a_features,RandomForest,1,0.9536478861577297,475066666718.3663,97.88210005894118
nb1a_features,RandomForest,2,0.9414206532998608,261.3698044076944,130.91287920952027
nb1a_features,RandomForest,3,0.9330125126948983,263825000083.9724,93.73956121024912
nb1a_features,RandomForest,4,0.9108393509981498,74.98283598477158,88.81987834688809
nb1a_features,RandomForest,5,0.9201341597497326,38.966119252055435,49.353064945978794
nb1a_features,HistGB_Poisson,1,0.8659350052627486,847015709088.3018,115.97317089778755
nb1a_features,HistGB_Poisson,2,0.8541537889901293,124.95829353903798,99.81112593701312
nb1a_features,HistGB_Poisson,3,0.8359186672416475,290494782808.73065,104.2768374084032
nb1a_features,HistGB_Poisson,4,0.8242299786540725,90.23249555120283,85.23308199485709
nb1a_features,HistGB_Poisson,5,0.8351444114825519,39.45815314706429,91.82939624880062
nb1a_features,GLM_NegativeBinomial,1,0.8110972629269108,75.71232802405218,75.81357446493833
nb1a_features,GLM_NegativeBinomial,2,0.8192195957075807,160.0953784063389,107.54601954579317
nb1a_features,GLM_NegativeBinomial,3,0.7998222175339336,91.45141828741514,121.84793042946274
nb1a_features,GLM_NegativeBinomial,4,0.7720757295312436,92.441188860162,91.57587157447473
nb1a_features,GLM_NegativeBinomial,5,0.8017436261123526,49.406168215478104,87.5509536224274
nb2a_features,RandomForest,1,0.9061767162993777,257809523882.48285,112.79215573239969
nb2a_features,RandomForest,2,0.9178247770049578,226.39557639298943,111.68184777784417
nb2a_features,RandomForest,3,0.904792541254062,241110000087.23492,88.15837707774918
nb2a_features,RandomForest,4,0.895640502443521,153.26381053381948,99.59038757131131
nb2a_features,RandomForest,5,0.903652892674639,47.96896448370086,105.26518374725805
nb2a_features,HistGB_Poisson,1,0.7021093062962522,438990915192.31067,115.55410237311912
nb2a_features,HistGB_Poisson,2,0.6810416351847584,208.02629267042795,133.58768158754614
nb2a_features,HistGB_Poisson,3,0.6433224389249323,477333608892.0255,130.51085982118292
nb2a_features,HistGB_Poisson,4,0.651952580295885,150.21458028315766,133.80515934468946
nb2a_features,HistGB_Poisson,5,0.6764869028390363,75.19369517684804,103.3810991687495
nb2a_features,GLM_NegativeBinomial,1,0.4446906423979652,298225979260.28107,125.6866056946207
nb2a_features,GLM_NegativeBinomial,2,0.4423247131016991,252.11403660503805,212.08469987674678
nb2a_features,GLM_NegativeBinomial,3,0.3662107566154591,349137397235.1721,131.84721179106558
nb2a_features,GLM_NegativeBinomial,4,0.332601221007504,111.55533678448214,158.91777830057532
nb2a_features,GLM_NegativeBinomial,5,0.40541622948295875,82.10640988540628,145.90199978346135
nb3a_features,RandomForest,1,0.9572960041041412,453390476249.76984,106.95265643932632
nb3a_features,RandomForest,2,0.9368635192481022,183.22169074480536,112.27788485427574
nb3a_features,RandomForest,3,0.933827602221399,257850000066.57782,85.80773263026082
nb3a_features,RandomForest,4,0.920546757955294,81.09412554251276,70.45308421775444
nb3a_features,RandomForest,5,0.929630966646546,37.95192357134017,73.31785562603423
nb3a_features,HistGB_Poisson,1,0.9255536589899137,602152990620.9473,123.27242074548442
nb3a_features,HistGB_Poisson,2,0.8929499572282531,87.83394502810803,110.32668189272313
nb3a_features,HistGB_Poisson,3,0.8760067473129703,314081712683.2716,88.64875827913752
nb3a_features,HistGB_Poisson,4,0.877433811311208,68.27228413915023,58.8994985931455
nb3a_features,HistGB_Poisson,5,0.8831694818428122,39.53531833409215,67.63851333370063
nb3a_features,GLM_NegativeBinomial,1,0.8618237738899278,77.47965176424063,82.75298303182488
nb3a_features,GLM_NegativeBinomial,2,0.8414642765403209,85.7881187110405,99.39739572357095
nb3a_features,GLM_NegativeBinomial,3,0.8396931598752829,65.79615719694077,99.82788909449843
nb3a_features,GLM_NegativeBinomial,4,0.8257227712299882,96.17773329601323,105.75365759671
nb3a_features,GLM_NegativeBinomial,5,0.8453934259500111,44.94718123213262,80.05210359816829
