split,feature_selection,n_features,pseudo_R2_train,SMAPE_val,RMSE_val
Split01,All_features,92,0.9740739198401825,49.77634629935185,71.78831746678878
Split01,MutualInformation,20,0.9011243634332076,56.985534700274854,93.88773528946282
Split01,L1_Lasso,6,0.7990542670669568,57.19967821563819,96.54043693725656
Split01,RandomForest,20,0.9128313798563523,61.96546608002388,93.60976127175061
Split02,All_features,92,0.96641658801942,60.1022254416026,109.26511850291124
Split02,MutualInformation,20,0.90857849562197,73.26665073460688,106.5328396356782
Split02,L1_Lasso,7,0.8480620816947511,73.30543416190073,147.94997133559022
Split02,RandomForest,20,0.8767693627978118,67.08126562492292,126.24735169239547
Split03,All_features,91,0.9665606642028505,62.2078947796869,91.87363059742755
Split03,MutualInformation,20,0.8595597266722829,67.68237689030218,117.64904182019094
Split03,L1_Lasso,5,0.7502792866975224,67.35803470775626,117.54597167814511
Split03,RandomForest,20,0.9135385026464714,72.3815534091344,115.45349485038062
Split04,All_features,90,0.9600667963972996,48.254166337195194,66.45816190169151
Split04,MutualInformation,20,0.8688905294025937,59.01682546972402,96.60297898782449
Split04,L1_Lasso,18,0.8645664627162515,48.07450694928404,67.16900068972701
Split04,RandomForest,20,0.8618318934047061,58.26829187841718,106.43512340880507
Split05,All_features,92,0.9615234975716325,41.01099008731584,81.17171113827675
Split05,MutualInformation,20,0.8842825442325671,52.886485781257406,82.9515632782969
Split05,L1_Lasso,10,0.8341852631359659,42.40597783910938,104.89164062511696
Split05,RandomForest,20,0.8898318184386603,47.17217058596259,108.59933408608157
Split06,All_features,92,0.9485309387576205,40.90023891345173,105.02437432537106
Split06,MutualInformation,20,0.8610179904443525,35.2761948235085,113.01556071487808
Split06,L1_Lasso,12,0.9105831662321617,49.527367620163105,130.8596190576836
Split06,RandomForest,20,0.8991718641219277,44.26227025980688,126.2853150529214
Split07,All_features,92,0.9764491871966786,63.44819078610079,126.36905370449824
Split07,MutualInformation,20,0.8914305487749773,68.04168921629564,128.83255959999
Split07,L1_Lasso,20,0.9419656909033256,66.05682658679916,138.07781541273542
Split07,RandomForest,20,0.9139092236292043,70.54218198569752,137.38579249881022
Split08,All_features,91,0.9691357718290912,50.35975493976122,47.88785632185022
Split08,MutualInformation,20,0.8854905686078295,55.85278250965609,62.1645354285181
Split08,L1_Lasso,8,0.8281670059584195,63.96602515519396,74.8081396173862
Split08,RandomForest,20,0.901180179182327,58.44173516025393,64.78964379111554
Split09,All_features,91,0.9762925130013909,59.0727655156521,95.0662005051836
Split09,MutualInformation,20,0.9134515334494172,64.95108219871179,115.3961695512404
Split09,L1_Lasso,8,0.8505824081730605,73.0966807904728,141.35263931439997
Split09,RandomForest,20,0.8997091428928345,62.504915472266376,99.7838744199114
Split10,All_features,91,0.9647514481428809,37.389546462570564,44.01807941980927
Split10,MutualInformation,20,0.8662359165881067,46.06879243881831,65.60499921844982
Split10,L1_Lasso,17,0.908596831636971,39.89528306099127,47.09845024028636
Split10,RandomForest,20,0.8692609489460846,55.26769355425329,61.536327196471014
Split11,All_features,91,0.9663231996018528,45.760996216844276,61.60602642279532
Split11,MutualInformation,20,0.9214219363198226,54.0334559280922,101.70993872305961
Split11,L1_Lasso,15,0.8318052615880045,62.812902358008195,97.55257032930747
Split11,RandomForest,20,0.8950207052565071,54.571972700798156,99.68270310459498
Split12,All_features,92,0.960274566935833,33.6433163589554,62.69532564853914
Split12,MutualInformation,20,0.8816629542208497,39.402170189521335,80.31318824055481
Split12,L1_Lasso,15,0.8666753457643602,52.997938611991735,135.02470954705026
Split12,RandomForest,20,0.8681179921312303,40.17713485286842,57.64814132488879
Split13,All_features,92,0.967479824003824,61.213138596631936,104.70277196113977
Split13,MutualInformation,20,0.8984511463342332,68.38111431904584,112.71149478557449
Split13,L1_Lasso,13,0.9326685967901926,71.41308433395868,114.40902985916557
Split13,RandomForest,20,0.9167766159888576,77.10704139651432,114.10955017410929
Split14,All_features,90,0.971893360450364,57.49246409936399,111.15909140444823
Split14,MutualInformation,20,0.8726913469471775,68.95541398435402,103.4584912820713
Split14,L1_Lasso,13,0.8725927344329828,59.759604539384235,133.02739731442978
Split14,RandomForest,20,0.9197463935329871,65.44835525781185,110.57035793280035
Split15,All_features,92,0.9679209363048098,50.63722251570337,64.71430321929323
Split15,MutualInformation,20,0.8820929229280556,47.91225771804605,57.077706021584966
Split15,L1_Lasso,11,0.8723573169313703,60.71740508850816,96.49627142481727
Split15,RandomForest,20,0.911425492469251,56.914803631633134,72.92899275512312
Split16,All_features,91,0.9687460823497435,58.29586785530082,116.11897306751358
Split16,MutualInformation,20,0.8981990071140608,48.8690336653049,89.21048761681313
Split16,L1_Lasso,15,0.9316700297695909,60.1793124114104,144.8805141203573
Split16,RandomForest,20,0.9166659917669225,56.589638088659335,131.87703203081207
Split17,All_features,91,0.9737359099167411,52.60515312568141,66.39822312646537
Split17,MutualInformation,20,0.9025593078579157,58.65684289874223,114.46464887386026
Split17,L1_Lasso,9,0.8386611953265593,69.97460682848316,76.94810384497377
Split17,RandomForest,20,0.8788773100303054,59.47753065871828,61.199908497795434
Split18,All_features,91,0.9576526104591332,46.46929041600181,109.26979580926927
Split18,MutualInformation,20,0.8875940628910295,69.47160703119266,116.12660553670504
