id,feature_selection,n_features,model,RMSE_mean,RMSE_std,MAPE_mean,MAPE_std,SMAPE_mean,SMAPE_std,R2_train_mean,Corr_R2_val_mean,rank_RMSE,rank_MAPE,rank_SMAPE,avg_rank
L1_Lasso_25_HistGB_Poisson_tuned_v1,L1_Lasso,25,HistGB_Poisson_tuned_v1,78.43030342253526,38.4457258908565,50.36723017360384,17.428599589514935,48.6174417174865,14.793980100585083,0.9977045630682717,0.6685018557342396,9.0,1.0,2.0,4.0
L1_Lasso_20_HistGB_Poisson_tuned_v1,L1_Lasso,20,HistGB_Poisson_tuned_v1,78.71848901577151,37.53293441945393,51.794557432675155,15.037268270173834,49.934053139923286,14.243411253530926,0.997216910492,0.6753418518591328,10.0,2.0,5.0,5.666666666666667
L1_Lasso_15_HistGB_Poisson_tuned_v1,L1_Lasso,15,HistGB_Poisson_tuned_v1,77.5741081766494,38.30756079035685,55.6597943864796,19.24301637350101,50.24274151248359,13.91861182795809,0.997449924242893,0.6896268750706978,6.0,3.0,9.0,6.0
L1_Lasso_20_Stack_RF+HistGB+ET,L1_Lasso,20,Stack_RF+HistGB+ET,76.92141259908144,34.53577884409944,64.94414709097197,22.010470073610616,50.02386028459728,12.009132245118792,0.9231027336885413,0.7207134337714345,2.0,12.0,6.0,6.666666666666667
L1_Lasso_25_Bagging_HistGB,L1_Lasso,25,Bagging_HistGB,79.13139572858611,37.92470080797939,61.7028519963987,21.978775396979415,49.507706364177984,13.294661331930532,0.9134475387526666,0.6850730704874584,14.0,5.0,3.0,7.333333333333333
L1_Lasso_20_Bagging_HistGB,L1_Lasso,20,Bagging_HistGB,81.11492768539206,38.29175033334755,62.43694085777487,21.181095529735593,50.12398776799865,12.722099452999817,0.9031346338018822,0.6595557205619861,25.0,6.0,7.0,12.666666666666666
L1_Lasso_15_Stack_RF+HistGB+ET,L1_Lasso,15,Stack_RF+HistGB+ET,78.30002969269474,32.864211921876986,70.45323540924241,29.119105413004817,50.779283412516826,12.031391505209955,0.9319513359503961,0.7145247165333365,7.0,20.0,12.0,13.0
L1_Lasso_25_Stack_RF+HistGB+ET,L1_Lasso,25,Stack_RF+HistGB+ET,80.50953560917031,39.17087837953416,69.53592754587208,31.561233977171344,50.66216874629103,13.421783828780603,0.9447953341216113,0.7011149174808967,20.0,17.0,10.0,15.666666666666666
L1_Lasso_20_HistGB_Poisson_default,L1_Lasso,20,HistGB_Poisson_default,83.10662968655723,36.60172605209391,63.32690617162622,21.87334205018602,52.144355107057066,14.715437549751096,0.9800241939662798,0.6294540482612716,29.0,7.0,15.0,17.0
L1_Lasso_15_ExtraTrees,L1_Lasso,15,ExtraTrees,80.67386401024747,33.46788659485981,71.83487740491623,33.63093208548638,49.549133133203,12.406302446352957,0.9999422778172689,0.7000371770618089,22.0,25.0,4.0,17.0
L1_Lasso_20_HistGB_Poisson_tuned_v2,L1_Lasso,20,HistGB_Poisson_tuned_v2,83.10662968655723,36.60172605209391,63.32690617162622,21.87334205018602,52.144355107057066,14.715437549751096,0.9800241939662798,0.6294540482612716,29.0,7.0,15.0,17.0
RF_20_HistGB_Poisson_tuned_v1,RF,20,HistGB_Poisson_tuned_v1,80.49804700168816,45.483632431488175,64.33114229064239,26.816082513734397,54.08624601577382,13.543090163620544,0.9921544841146168,0.6531725926793831,19.0,9.0,24.0,17.333333333333332
L1_Lasso_20_HistGB_SquaredError,L1_Lasso,20,HistGB_SquaredError,77.3432688180214,36.68164675388379,67.09016851894042,29.088257709494243,55.41007855010467,15.770929382588628,0.9978850545830528,0.6720720801309471,5.0,15.0,33.0,17.666666666666668
RF_20_HistGB_Poisson_default,RF,20,HistGB_Poisson_default,78.88507333935657,37.478425705687485,70.34034453821276,29.18124073802033,54.182204411014325,13.413403346131163,0.977734681974389,0.6593067783210791,11.0,18.0,25.0,18.0
RF_20_HistGB_Poisson_tuned_v2,RF,20,HistGB_Poisson_tuned_v2,78.88507333935657,37.478425705687485,70.34034453821276,29.18124073802033,54.182204411014325,13.413403346131163,0.977734681974389,0.6593067783210791,11.0,18.0,25.0,18.0
L1_Lasso_15_PoissonRegressor,L1_Lasso,15,PoissonRegressor,94.80475375728925,57.282701877813736,59.425068868032774,24.16277476397951,48.056439281371674,11.926531474841005,0.8294827192189268,0.6830038659793706,49.0,4.0,1.0,18.0
L1_Lasso_20_RandomForest_tuned,L1_Lasso,20,RandomForest_tuned,76.56154067972733,35.541251175026154,84.33733447656807,32.777862208056696,53.33791772092088,13.66895827484644,0.9201342479882612,0.7084902618541205,1.0,36.0,20.0,19.0
L1_Lasso_15_Bagging_HistGB,L1_Lasso,15,Bagging_HistGB,84.44978029284425,36.964779003822734,65.887961521725,23.43093156850162,50.67244466425522,11.44878827108775,0.8975041486230587,0.636169123379533,33.0,14.0,11.0,19.333333333333332
L1_Lasso_25_HistGB_Poisson_tuned_v2,L1_Lasso,25,HistGB_Poisson_tuned_v2,84.69306183766228,35.39244147760824,64.6687700021442,25.010994451393156,52.572279604713806,14.595703514425095,0.9846817649055054,0.6253610854917601,35.0,10.0,17.0,20.666666666666668
L1_Lasso_15_RandomForest_tuned,L1_Lasso,15,RandomForest_tuned,77.30456368162866,36.1822408778581,85.83333158330962,33.837715232958075,53.61358504131514,13.574679967984716,0.9132234160872088,0.7022544000846508,4.0,37.0,21.0,20.666666666666668
L1_Lasso_25_HistGB_Poisson_default,L1_Lasso,25,HistGB_Poisson_default,84.69306183766228,35.39244147760824,64.6687700021442,25.010994451393156,52.572279604713806,14.595703514425095,0.9846817649055054,0.6253610854917601,35.0,10.0,17.0,20.666666666666668
L1_Lasso_20_ExtraTrees,L1_Lasso,20,ExtraTrees,81.62092756315343,35.95242032327401,75.28947273986378,40.904626596667754,50.141856791287964,12.938091984433209,0.9999422819642103,0.6831357622737763,26.0,31.0,8.0,21.666666666666668
L1_Lasso_20_GradientBoosting_Huber,L1_Lasso,20,GradientBoosting_Huber,79.21158920489498,37.8150673359722,71.43312015409626,27.360011025245353,55.227150565333694,16.583957346324073,0.9912429070705246,0.6808376911320378,15.0,22.0,32.0,23.0
L1_Lasso_25_HistGB_SquaredError,L1_Lasso,25,HistGB_SquaredError,78.9900975768198,37.85037096305205,70.46807098463768,32.54299238316145,56.49218201859266,17.892064442652675,0.9983962023907421,0.6701436918794018,13.0,21.0,39.0,24.333333333333332
