rank,feature,importance
1,num__stv_mi,79.69012987941133
2,num__sig_int_em,63.68735186447408
3,num__dist_CBD,62.34822438314062
4,num__Retail Area_em,54.27068576627821
5,num__zch_hm,49.060759464170324
6,num__swlk_len,41.54539048698253
7,num__swlk_len_hm,29.210794034682134
8,cat__season_fall,27.787209741089367
9,num__Commercial Area_qm,21.42779689922027
10,cat__crossing_class_unmarked,18.531128145067264
11,num__walk_comm_em,17.852685757673065
12,num__Retail Area,17.663140757940166
13,num__med_inc_qm,17.20567665178192
14,num__bus_stops_em,15.96712269513155
15,num__tstop_dens,14.956768749050818
16,num__Number of,13.432384433971588
17,cat__speed_type_20 mph-20 mph,3.5225435963150504
18,cat__class_type_pri-pri,0.0
19,cat__speed_type_25 mph-30 mph,0.0
20,cat__class_type_mot-sec,0.0
