id,feature_selection,n_features,model,RMSE_mean,RMSE_std,MAPE_mean,MAPE_std,SMAPE_mean,SMAPE_std,R2_train_mean,Corr_R2_val_mean,cv_strategy,rank_RMSE,rank_MAPE,rank_SMAPE,avg_rank
L1_Lasso_20_HistGB_Poisson_tuned_v1,L1_Lasso,20,HistGB_Poisson_tuned_v1,79.79364751329926,20.75409769885931,48.563756844109335,11.628464079166475,47.83845889404733,8.602819150969395,0.997015198227813,0.6410792644206199,5-Fold,2.0,1.0,4.0,2.3333333333333335
L1_Lasso_15_HistGB_Poisson_tuned_v1,L1_Lasso,15,HistGB_Poisson_tuned_v1,80.49571508092497,24.32951026825288,53.86774930454957,14.610428585950308,48.617274027488456,6.705238002250092,0.9967574527995688,0.6212348601013564,5-Fold,3.0,4.0,8.0,5.0
L1_Lasso_30_HistGB_Poisson_tuned_v1,L1_Lasso,30,HistGB_Poisson_tuned_v1,84.21754726551313,16.255542104675516,51.41638288676229,12.191884749427565,48.407564337751424,7.1654495546888555,0.9974635219437697,0.6192278014344355,5-Fold,11.0,2.0,6.0,6.333333333333333
L1_Lasso_25_HistGB_Poisson_tuned_v1,L1_Lasso,25,HistGB_Poisson_tuned_v1,84.017647798246,16.489862082467003,51.483686752980724,12.842472885582806,48.48888440291857,7.394028250691701,0.9974374418273337,0.6182378974141639,5-Fold,9.0,3.0,7.0,6.333333333333333
L1_Lasso_20_Stack_RF+HistGB+ET,L1_Lasso,20,Stack_RF+HistGB+ET,82.60978580173047,14.121478589723718,63.11624303497697,20.24094220590225,47.87447866254665,10.84000887304055,0.963923867478188,0.6524152483491216,5-Fold,5.0,14.0,5.0,8.0
L1_Lasso_20_HistGB_Poisson_tuned_v2,L1_Lasso,20,HistGB_Poisson_tuned_v2,85.09019334915692,16.694374264707196,55.516314195704396,11.810013641326899,47.80648604238603,9.137667051238008,0.97326586915522,0.6193939073369328,5-Fold,20.0,6.0,2.0,9.333333333333334
L1_Lasso_20_HistGB_Poisson_default,L1_Lasso,20,HistGB_Poisson_default,85.09019334915692,16.694374264707196,55.516314195704396,11.810013641326899,47.80648604238603,9.137667051238008,0.97326586915522,0.6193939073369328,5-Fold,20.0,6.0,2.0,9.333333333333334
L1_Lasso_20_GradientBoosting_Huber,L1_Lasso,20,GradientBoosting_Huber,79.69662069213935,15.101110026972037,63.62151693877703,25.997604418836687,49.453196572905554,15.33515475203208,0.989406295097447,0.6397819643113525,5-Fold,1.0,16.0,14.0,10.333333333333334
L1_Lasso_10_HistGB_Poisson_tuned_v1,L1_Lasso,10,HistGB_Poisson_tuned_v1,84.77950670038962,25.064601289255645,56.239299959786294,20.690174612548926,49.720779081581824,11.101441519992605,0.9945195804526911,0.5864326866378848,5-Fold,17.0,8.0,15.0,13.333333333333334
L1_Lasso_25_GradientBoosting_Huber,L1_Lasso,25,GradientBoosting_Huber,84.29712167778068,12.532772006200284,66.71665700000437,16.507427426953914,49.98726215441859,11.268265782634327,0.9851224353218193,0.6097012893201796,5-Fold,13.0,24.0,17.0,18.0
L1_Lasso_30_HistGB_Poisson_tuned_v2,L1_Lasso,30,HistGB_Poisson_tuned_v2,87.45669404622325,15.793469157571526,60.2220333230803,17.739188257329,49.22735451162996,8.810900947675748,0.9790680710142056,0.6043715270622781,5-Fold,37.0,9.0,9.0,18.333333333333332
L1_Lasso_30_HistGB_Poisson_default,L1_Lasso,30,HistGB_Poisson_default,87.45669404622325,15.793469157571526,60.2220333230803,17.739188257329,49.22735451162996,8.810900947675748,0.9790680710142056,0.6043715270622781,5-Fold,37.0,9.0,9.0,18.333333333333332
L1_Lasso_25_HistGB_Poisson_tuned_v2,L1_Lasso,25,HistGB_Poisson_tuned_v2,87.45669404622325,15.793469157571526,60.2220333230803,17.739188257329,49.22735451162996,8.810900947675748,0.9790680710142056,0.6043715270622781,5-Fold,37.0,9.0,9.0,18.333333333333332
L1_Lasso_25_HistGB_Poisson_default,L1_Lasso,25,HistGB_Poisson_default,87.45669404622325,15.793469157571526,60.2220333230803,17.739188257329,49.22735451162996,8.810900947675748,0.9790680710142056,0.6043715270622781,5-Fold,37.0,9.0,9.0,18.333333333333332
L1_Lasso_30_GradientBoosting_Huber,L1_Lasso,30,GradientBoosting_Huber,84.5339352437383,12.950790025898558,70.08899860137613,19.869085902666615,51.173000538002285,11.083017025652511,0.9855535702699187,0.6081779454238827,5-Fold,15.0,29.0,25.0,23.0
L1_Lasso_25_Bagging_HistGB,L1_Lasso,25,Bagging_HistGB,86.76077541596285,20.773155918941786,66.54627092789835,25.64991045091369,50.02987321737665,9.932482207706538,0.8935675419418778,0.5956744276290384,5-Fold,32.0,22.0,18.0,24.0
L1_Lasso_30_Bagging_HistGB,L1_Lasso,30,Bagging_HistGB,86.76077541596285,20.773155918941786,66.54627092789835,25.64991045091369,50.02987321737665,9.932482207706538,0.8935675419418778,0.5956744276290384,5-Fold,32.0,22.0,18.0,24.0
L1_Lasso_15_Stack_RF+HistGB+ET,L1_Lasso,15,Stack_RF+HistGB+ET,84.38823393889308,12.932225521465686,71.32605573789775,22.612826398306435,51.37521936904411,9.654073829646213,0.9715322054876883,0.6378916749717176,5-Fold,14.0,33.0,27.0,24.666666666666668
L1_Lasso_15_PoissonRegressor,L1_Lasso,15,PoissonRegressor,96.89262821674636,22.04992001578905,55.51061489137415,15.610157713261481,45.5451737841086,7.079223679715356,0.8348706305434621,0.5921075063905221,5-Fold,69.0,5.0,1.0,25.0
L1_Lasso_15_ExtraTrees,L1_Lasso,15,ExtraTrees,86.34692808625054,11.407946689219175,71.89395227687662,26.06605100530637,49.856671076920605,9.753580675970806,0.9999524476393112,0.6327242010920432,5-Fold,29.0,34.0,16.0,26.333333333333332
L1_Lasso_20_Bagging_HistGB,L1_Lasso,20,Bagging_HistGB,87.83109645013832,19.104430884816864,62.678537389313405,11.965791580497788,50.63252833922249,7.34056863642483,0.8849448402274518,0.5913424315112091,5-Fold,44.0,13.0,22.0,26.333333333333332
L1_Lasso_10_HistGB_Poisson_default,L1_Lasso,10,HistGB_Poisson_default,86.34140191104231,14.683744754333299,63.97423876238977,17.4501427150758,52.25124958145415,8.7983612107818,0.9353594976069666,0.5936234822368567,5-Fold,27.0,19.0,34.0,26.666666666666668
L1_Lasso_10_HistGB_Poisson_tuned_v2,L1_Lasso,10,HistGB_Poisson_tuned_v2,86.34140191104231,14.683744754333299,63.97423876238977,17.4501427150758,52.25124958145415,8.7983612107818,0.9353594976069666,0.5936234822368567,5-Fold,27.0,19.0,34.0,26.666666666666668
L1_Lasso_15_HistGB_Poisson_tuned_v2,L1_Lasso,15,HistGB_Poisson_tuned_v2,87.13132975037914,18.767605769814978,63.63852240338472,12.30810123730259,51.90630181728807,9.03054490298305,0.9692426436037014,0.6100768839062248,5-Fold,34.0,17.0,30.0,27.0
L1_Lasso_15_HistGB_Poisson_default,L1_Lasso,15,HistGB_Poisson_default,87.13132975037914,18.767605769814978,63.63852240338472,12.30810123730259,51.90630181728807,9.03054490298305,0.9692426436037014,0.6100768839062248,5-Fold,34.0,17.0,30.0,27.0
L1_Lasso_30_Stack_RF+HistGB+ET,L1_Lasso,30,Stack_RF+HistGB+ET,86.0167810959873,11.387791978250139,71.30319648017698,24.549564763532736,51.90460936914927,8.58160353754776,0.9603838601046013,0.6332153832183594,5-Fold,23.0,32.0,29.0,28.0
L1_Lasso_25_Stack_RF+HistGB+ET,L1_Lasso,25,Stack_RF+HistGB+ET,86.2504429694715,11.82549863776545,72.82896075578606,25.046498436510443,51.757337026586626,8.83843396946587,0.96246815112057,0.6332603079241192,5-Fold,25.0,38.0,28.0,30.333333333333332
L1_Lasso_10_Stack_RF+HistGB+ET,L1_Lasso,10,Stack_RF+HistGB+ET,87.85137181723778,15.895125715920319,68.94413250454251,22.911162624480426,50.33783431131695,10.516438522591598,0.9666511044909439,0.6096092891968443,5-Fold,45.0,28.0,20.0,31.0
L1_Lasso_20_RandomForest_tuned,L1_Lasso,20,RandomForest_tuned,80.81472311408747,14.535990056532949,80.7899338164689,34.010549027150475,52.25899237333016,11.246002360569184,0.916119627761448,0.6567681800931258,5-Fold,4.0,53.0,36.0,31.0
L1_Lasso_15_GradientBoosting_Huber,L1_Lasso,15,GradientBoosting_Huber,84.27395040207048,20.795163645717405,70.15618638355002,22.930297771304204,55.63351644198242,14.728745265440836,0.9898442992818784,0.5948291915855342,5-Fold,12.0,30.0,52.0,31.333333333333332
L1_Lasso_10_ExtraTrees,L1_Lasso,10,ExtraTrees,88.36987248904042,12.365192436539136,70.65021307527788,25.680079298294192,50.76056641192613,10.275118361118313,0.999952447635542,0.6261776271563843,5-Fold,47.0,31.0,23.0,33.666666666666664
L1_Lasso_20_PoissonRegressor,L1_Lasso,20,PoissonRegressor,130.264101635548,45.822446014894226,63.1165425499507,13.912905193182622,49.392744089860635,5.22663709456067,0.8470058894063188,0.47743075234923527,5-Fold,73.0,15.0,13.0,33.666666666666664
L1_Lasso_15_Bagging_HistGB,L1_Lasso,15,Bagging_HistGB,89.14880116818489,18.906987024730032,67.47077426337192,16.486162925819098,51.01374705023592,6.847766425823222,0.8787208783843525,0.5880676394271631,5-Fold,50.0,27.0,24.0,33.666666666666664
