id,feature_selection,n_features,model,RMSE_mean,RMSE_std,MAPE_mean,MAPE_std,SMAPE_mean,SMAPE_std,R2_train_mean,Corr_R2_val_mean,cv_strategy,rank_RMSE,rank_MAPE,rank_SMAPE,avg_rank
L1_Lasso_25_Bagging_HistGB,L1_Lasso,25,Bagging_HistGB,78.99094567303273,37.602250151223444,61.708519753052975,22.691005142457616,49.57239588028861,13.318796632005924,0.913947602320314,0.6784211318159218,Repeated_5x10,7.0,7.0,5.0,6.333333333333333
L1_Lasso_30_Bagging_HistGB,L1_Lasso,30,Bagging_HistGB,78.99094567303273,37.602250151223444,61.708519753052975,22.691005142457616,49.57239588028861,13.318796632005924,0.913947602320314,0.6784211318159218,Repeated_5x10,7.0,7.0,5.0,6.333333333333333
L1_Lasso_30_HistGB_Poisson_tuned_v1,L1_Lasso,30,HistGB_Poisson_tuned_v1,81.00488511474043,39.45926417437833,49.15291417840334,15.1684215824335,48.02292899461639,14.032371980011217,0.9976963080933973,0.6434941655054865,Repeated_5x10,17.0,1.0,2.0,6.666666666666667
L1_Lasso_20_HistGB_Poisson_tuned_v1,L1_Lasso,20,HistGB_Poisson_tuned_v1,80.53822073903888,38.792648729526896,50.6944965174483,14.30804621145935,49.55277576215047,14.179375114559893,0.997188575877434,0.6446190197461509,Repeated_5x10,14.0,3.0,4.0,7.0
L1_Lasso_25_HistGB_Poisson_tuned_v1,L1_Lasso,25,HistGB_Poisson_tuned_v1,81.26970283657919,39.46973178927506,49.67532881407968,15.652234332680933,48.35434157415717,13.983243679647028,0.99768714051037,0.6404345084668813,Repeated_5x10,21.0,2.0,3.0,8.666666666666666
L1_Lasso_15_HistGB_Poisson_tuned_v1,L1_Lasso,15,HistGB_Poisson_tuned_v1,79.9925070789796,38.76603300420691,55.10871433616955,18.28071743797588,50.66984358577815,13.407624197854862,0.9974247599842565,0.6623371231078394,Repeated_5x10,13.0,4.0,14.0,10.333333333333334
L1_Lasso_20_Stack_RF+HistGB+ET,L1_Lasso,20,Stack_RF+HistGB+ET,81.07602785840366,37.56210549477822,64.04075703121151,23.456339098447017,50.27498219853977,12.095185030413273,0.9183065162553494,0.7052730753180058,Repeated_5x10,18.0,14.0,10.0,14.0
L1_Lasso_25_Stack_RF+HistGB+ET,L1_Lasso,25,Stack_RF+HistGB+ET,81.86739792282029,40.40991410796476,65.99431040639223,30.546707130096284,50.152583712785415,13.707547184466765,0.9279346506265207,0.7041801985266926,Repeated_5x10,27.0,20.0,8.0,18.333333333333332
L1_Lasso_30_Stack_RF+HistGB+ET,L1_Lasso,30,Stack_RF+HistGB+ET,81.8984564496865,39.90976992182402,65.7359499171379,31.271300418677352,50.23028351734583,13.982436024894454,0.9339327678590718,0.6990329608288067,Repeated_5x10,28.0,19.0,9.0,18.666666666666668
L1_Lasso_20_Bagging_HistGB,L1_Lasso,20,Bagging_HistGB,82.8191367826153,38.407999208917886,63.651383177814175,23.807379026943323,50.63013857712106,13.353903264183563,0.9037922138883079,0.6520415589642953,Repeated_5x10,37.0,13.0,13.0,21.0
L1_Lasso_15_ExtraTrees,L1_Lasso,15,ExtraTrees,81.99454941288859,31.544130118882773,70.98183867540077,31.17144226598084,49.810850703388745,13.051753543259583,0.9999413333794698,0.6866399949822957,Repeated_5x10,29.0,37.0,7.0,24.333333333333332
L1_Lasso_15_PoissonRegressor,L1_Lasso,15,PoissonRegressor,92.11959635579399,52.767918353515725,58.630315068978895,25.02707241504679,48.002707452470894,12.475955049823716,0.8292104959279567,0.6863025494562349,Repeated_5x10,67.0,5.0,1.0,24.333333333333332
L1_Lasso_10_ExtraTrees,L1_Lasso,10,ExtraTrees,82.10557645884461,31.26456770314955,69.81224012796048,32.9974372653412,50.356644657216165,12.683864226572279,0.9999412723035203,0.7031883882949511,Repeated_5x10,30.0,32.0,11.0,24.333333333333332
RF_20_HistGB_Poisson_tuned_v1,RF,20,HistGB_Poisson_tuned_v1,81.09771892374518,42.96787277158044,64.0654287785021,26.316619643907273,53.985172666822834,14.01349429624083,0.9921629353696627,0.6523955726895179,Repeated_5x10,19.0,15.0,41.0,25.0
L1_Lasso_25_HistGB_Poisson_tuned_v2,L1_Lasso,25,HistGB_Poisson_tuned_v2,84.24622826854414,34.87827274834169,63.46247703025599,24.791035360866633,51.97417004328615,13.439714888180713,0.9845494290308135,0.629777569342977,Repeated_5x10,45.0,9.0,22.0,25.333333333333332
L1_Lasso_10_HistGB_Poisson_tuned_v1,L1_Lasso,10,HistGB_Poisson_tuned_v1,83.46758579432824,35.803104446963076,61.44447711233275,23.52376581707641,53.245314848717534,13.931903792371177,0.995283641062227,0.6546377934977023,Repeated_5x10,40.0,6.0,30.0,25.333333333333332
