selection,model,feature,coef,std_err,p_value
L1_Lasso,GLM_NegativeBinomial,num__swlk_len,12.294281233389917,8.858533165723149,0.16518389550501644
L1_Lasso,GLM_NegativeBinomial,const,1.5493836114108521,1.352242622863396,0.2518828078006117
L1_Lasso,GLM_NegativeBinomial,cat__class_type_sec-sec,0.8320005172166159,0.6565660772073755,0.2050837944035978
L1_Lasso,GLM_NegativeBinomial,cat__class_type_pri-pri,0.7228931841318134,0.499799446631799,0.1480744283938363
L1_Lasso,GLM_NegativeBinomial,cat__class_type_pri-sec,0.3988694815219618,0.40887724434759387,0.3293005038534542
L1_Lasso,GLM_NegativeBinomial,num__Number of,0.2133892891985184,0.3874646076559675,0.581817173254722
L1_Lasso,GLM_NegativeBinomial,num__sig_int_em,0.11402250815603467,0.08961793172136764,0.20326015365670969
L1_Lasso,GLM_NegativeBinomial,num__transit_stops_qm,0.005617934841795666,0.030608573150929724,0.8543733796095437
L1_Lasso,GLM_NegativeBinomial,num__stv_mi,0.002354532698463436,0.0016057892142135384,0.142572684967536
L1_Lasso,GLM_NegativeBinomial,num__tstop_dens,0.00020796345404266894,0.00018992441147440179,0.27352534794337535
L1_Lasso,GLM_NegativeBinomial,num__pop_dens_em,1.4101411485200988e-05,2.0618666800827896e-05,0.49402896464609036
L1_Lasso,GLM_NegativeBinomial,num__stv_mi_hm,9.225076317138583e-06,1.1998179386439338e-05,0.441968700458637
L1_Lasso,GLM_NegativeBinomial,num__Retail Area_em,1.384447662978207e-06,6.230121001472609e-07,0.026270857878313403
L1_Lasso,GLM_NegativeBinomial,num__Commercial Area_em,-2.17016871912214e-06,1.268986376899786e-06,0.08723643923344213
L1_Lasso,GLM_NegativeBinomial,num__job_dens_hm,-1.658502303212802e-05,2.921786555933884e-05,0.5702842329112215
L1_Lasso,GLM_NegativeBinomial,cat__speed_type_20 mph-30 mph,-0.09663489272919057,0.32014690884563235,0.762769869909738
L1_Lasso,GLM_NegativeBinomial,cat__speed_type_35 mph-35 mph,-1.2507449852891481,1.0168612548870448,0.2186950272088951
L1_Lasso,GLM_NegativeBinomial,cat__speed_type_25 mph-55 mph,-12.088413478573141,7476.421757117067,0.9987099237322371
L1_Lasso,GLM_NegativeBinomial,cat__class_type_mot-sec,-12.088413478618167,7476.421757144918,0.9987099237322371
MutualInformation,GLM_NegativeBinomial,const,3.984091507379989,1.2940293538609606,0.0020781786470614664
MutualInformation,GLM_NegativeBinomial,num__transit_stops_hm,0.18916040953831098,0.08447965004928354,0.025147850930119044
MutualInformation,GLM_NegativeBinomial,num__transit_stops_em,0.180272965909138,0.08355415564299384,0.03096218613894908
MutualInformation,GLM_NegativeBinomial,num__sig_dens_qm,0.017094965630654164,0.012714383771365481,0.1787746420606382
MutualInformation,GLM_NegativeBinomial,num__stv_mi,0.0070466333485153495,0.002268398403871423,0.0018935760786585624
MutualInformation,GLM_NegativeBinomial,num__sig_int_qm,0.003356588652656396,0.0024964634156928803,0.17877464202980442
MutualInformation,GLM_NegativeBinomial,num__zch_qm,0.0012957260259154248,0.0043476499164974884,0.7656809827795403
MutualInformation,GLM_NegativeBinomial,num__hh_hm,0.0007238938284520181,0.0004077118546902777,0.07581478676111424
MutualInformation,GLM_NegativeBinomial,num__job_dens_hm,0.0003880416160254467,0.00014364852765114114,0.006906344310671737
MutualInformation,GLM_NegativeBinomial,num__job_dens_em,0.0002263302497814014,0.00010957135882477606,0.03886656544959329
MutualInformation,GLM_NegativeBinomial,num__dist_CBD,-4.824080382481328e-05,3.382354361064436e-05,0.15379640702988004
MutualInformation,GLM_NegativeBinomial,num__stv_mi_hm,-6.026466619450626e-05,2.5418674043969348e-05,0.01774571549922178
MutualInformation,GLM_NegativeBinomial,num__job_dens,-6.157985102066187e-05,3.5227623730132423e-05,0.0804543703248457
MutualInformation,GLM_NegativeBinomial,num__job_dens_qm,-0.00036016692060511415,0.00014566836498288794,0.013416684804995275
MutualInformation,GLM_NegativeBinomial,num__isect_dens_em,-0.001704921305286414,0.0022233760614269304,0.44319066332149804
MutualInformation,GLM_NegativeBinomial,num__walk_comm_hm,-0.0020319049477352936,0.0014321258962948363,0.1559563703295696
MutualInformation,GLM_NegativeBinomial,num__isect_dens_hm,-0.002341517269355036,0.004668038793218032,0.6159445469286218
