selection,model,feature,importance
RandomForest,RandomForest,num__stv_mi_hm,0.10281985899872886
RandomForest,RandomForest,num__job_dens_em,0.0903490855356203
RandomForest,RandomForest,num__sig_int_qm,0.07228186655359362
RandomForest,RandomForest,num__job_dens_qm,0.0613201027175809
RandomForest,RandomForest,num__job_dens_hm,0.05918650493556075
RandomForest,RandomForest,num__sig_dens_hm,0.05521260110683706
RandomForest,RandomForest,num__isect_dens_hm,0.048304663799080785
RandomForest,RandomForest,num__sig_int_hm,0.047940944253222796
RandomForest,RandomForest,num__Retail Area_em,0.04732103517444624
RandomForest,RandomForest,num__sig_dens,0.04233279243990531
RandomForest,RandomForest,num__stv_ann,0.041975403752110764
RandomForest,RandomForest,num__zch_qm,0.04033471877776552
RandomForest,RandomForest,num__sig_dens_qm,0.03996532198472617
RandomForest,RandomForest,num__walk_comm_hm,0.03992491542868928
RandomForest,RandomForest,num__stv_mi,0.037986868088354525
RandomForest,RandomForest,num__sig_dens_em,0.03728255632196644
RandomForest,RandomForest,num__job_dens,0.03620519797418942
RandomForest,RandomForest,num__transit_stops_hm,0.03459937453012932
RandomForest,RandomForest,num__sig_int_em,0.0338399374236762
RandomForest,RandomForest,num__zch_hm,0.03081625020381572
