feature,importance
num__job_dens_em,0.11884915545765525
num__stv_mi_hm,0.09359563639678138
num__sig_int_hm,0.0761162882290287
num__sig_dens_hm,0.07137616895489206
num__job_dens_hm,0.06757568979823647
num__job_dens_qm,0.06495498700147156
num__stv_mi,0.058228940561937476
num__sig_dens_qm,0.055673313025946095
num__zch_qm,0.05479813900116826
num__walk_comm_hm,0.05292389890332292
num__isect_dens_hm,0.05056653351553354
num__sig_int_qm,0.04568302932258282
num__job_dens,0.03205678295549222
num__isect_dens_em,0.029500809013129452
num__dist_CBD,0.02600701633328283
num__transit_stops_hm,0.022552783801118026
num__bus_stops_hm,0.021923740789636423
num__transit_stops_em,0.02073737859314652
num__hh_hm,0.020104822025187177
num__zch_em,0.016774886320450856
