feature,coef,std_err,p_value
const,2.647280499170554,0.5913261410399717,7.575119504710666e-06
num__sig_dens_hm,-0.027939794387555682,0.01935307543504741,0.14882688032125221
num__sig_int_hm,-0.02194386319878487,0.015199869902752529,0.14882688030026012
num__sig_dens_qm,0.015961256030370474,0.01693079196255866,0.3458162888840799
num__sig_int_qm,0.0031339852980056112,0.0033243532280821013,0.3458162881073955
num__transit_stops_hm,0.0022714899137644025,0.016904941050925232,0.8931112666205414
num__isect_dens_hm,0.001764315670116646,0.0030968126042795925,0.5688677119692864
num__zch_qm,-0.0016900789746614846,0.00203448467982368,0.40613408562936126
num__sig_dens_em,0.0015233486376706497,0.005772561237110634,0.7918610167639141
num__walk_comm_hm,0.0014055286038508,0.001015267019121356,0.16623813626466988
num__zch_hm,0.0008531748354673172,0.0009680366852314567,0.37813081313904473
num__sig_dens,0.0003160881237841345,0.00021525042458376718,0.14197744082225985
num__job_dens_qm,-0.00016013032872866438,0.0001350417403596057,0.23570763018813912
num__job_dens_hm,0.00014679634558520765,0.00012064080667055972,0.22367838937308748
num__job_dens_em,0.00011676945505229724,0.00010853760090893931,0.28199732566645064
num__sig_int_em,7.477720137436406e-05,0.00028335993710842017,0.7918610168069171
num__stv_ann,6.811822949141319e-05,3.499271559229081e-05,0.05157787659093997
num__job_dens,-2.4206015909626815e-05,3.617723300717404e-05,0.5034346995961336
num__stv_mi_hm,-2.2936147767287446e-06,1.8528523110359452e-05,0.9014828787388482
num__Retail Area_em,2.0934115286470964e-06,6.662752585252756e-07,0.0016781982784927576
num__stv_mi,1.2901180787555965e-06,6.62740820900285e-07,0.05157785755898427
