feature,perm_importance_mean,perm_importance_std
num__stv_ann,35.01860638146643,19.624419405204964
num__stv_mi_hm,22.552554649684037,7.611866892996218
num__sig_dens_em,21.202743014923612,11.11812236268499
num__transit_stops_hm,11.789311719908175,7.948784402455881
num__zch_qm,10.027028056545742,4.409709131677651
num__Retail Area_em,7.97904858130584,11.152613317727806
num__job_dens_qm,7.351004587077185,7.772374276778842
num__isect_dens_hm,6.933514777490629,5.870855141439746
num__walk_comm_hm,6.311961557228218,7.35965341975991
num__sig_dens,1.0813054638311663,3.37549772748561
num__sig_int_hm,0.024374075233797754,0.8191034267647985
num__sig_dens_hm,0.0,0.0
num__stv_mi,0.0,0.0
num__sig_dens_qm,0.0,0.0
num__sig_int_em,0.0,0.0
num__sig_int_qm,-0.029921477772417403,0.026721208350728144
num__job_dens,-0.1589590893374165,1.7484560296515348
num__job_dens_hm,-0.5824501968807005,3.3121207293873165
num__job_dens_em,-0.8370395775911639,0.7364876491490097
num__zch_hm,-2.7963211642373422,1.3145721277025462
