feature,importance
num__stv_mi_hm,0.10281985899872886
num__job_dens_em,0.0903490855356203
num__sig_int_qm,0.07228186655359362
num__job_dens_qm,0.0613201027175809
num__job_dens_hm,0.05918650493556075
num__sig_dens_hm,0.05521260110683706
num__isect_dens_hm,0.048304663799080785
num__sig_int_hm,0.047940944253222796
num__Retail Area_em,0.04732103517444624
num__sig_dens,0.04233279243990531
num__stv_ann,0.041975403752110764
num__zch_qm,0.04033471877776552
num__sig_dens_qm,0.03996532198472617
num__walk_comm_hm,0.03992491542868928
num__stv_mi,0.037986868088354525
num__sig_dens_em,0.03728255632196644
num__job_dens,0.03620519797418942
num__transit_stops_hm,0.03459937453012932
num__sig_int_em,0.0338399374236762
num__zch_hm,0.03081625020381572
