selection,model,feature,importance
L1_Lasso,RandomForest,num__job_dens_hm,0.35512423206273275
L1_Lasso,RandomForest,num__stv_mi_hm,0.14916763045618708
L1_Lasso,RandomForest,num__sig_int_em,0.1426456382866146
L1_Lasso,RandomForest,num__stv_mi,0.0911588281401622
L1_Lasso,RandomForest,num__transit_stops_qm,0.09080693264117368
L1_Lasso,RandomForest,num__Retail Area_em,0.04392708195575279
L1_Lasso,RandomForest,num__swlk_len,0.0381992853185813
L1_Lasso,RandomForest,cat__class_type_pri-pri,0.027835105036710574
L1_Lasso,RandomForest,num__Commercial Area_em,0.02092289835608888
L1_Lasso,RandomForest,num__pop_dens_em,0.02053394242182148
L1_Lasso,RandomForest,num__tstop_dens,0.007586163993269906
L1_Lasso,RandomForest,cat__speed_type_20 mph-30 mph,0.004270081399668197
L1_Lasso,RandomForest,cat__class_type_pri-sec,0.004093344930525537
L1_Lasso,RandomForest,num__Number of,0.001902327709128236
L1_Lasso,RandomForest,cat__class_type_sec-sec,0.001646352947968058
L1_Lasso,RandomForest,cat__speed_type_25 mph-55 mph,0.0001052338707826085
L1_Lasso,RandomForest,cat__class_type_mot-sec,7.336159547886934e-05
L1_Lasso,RandomForest,cat__speed_type_35 mph-35 mph,1.5588773530877803e-06
MutualInformation,RandomForest,num__job_dens_em,0.11884915545765525
MutualInformation,RandomForest,num__stv_mi_hm,0.09359563639678138
MutualInformation,RandomForest,num__sig_int_hm,0.0761162882290287
MutualInformation,RandomForest,num__sig_dens_hm,0.07137616895489206
MutualInformation,RandomForest,num__job_dens_hm,0.06757568979823647
MutualInformation,RandomForest,num__job_dens_qm,0.06495498700147156
MutualInformation,RandomForest,num__stv_mi,0.058228940561937476
MutualInformation,RandomForest,num__sig_dens_qm,0.055673313025946095
MutualInformation,RandomForest,num__zch_qm,0.05479813900116826
MutualInformation,RandomForest,num__walk_comm_hm,0.05292389890332292
MutualInformation,RandomForest,num__isect_dens_hm,0.05056653351553354
MutualInformation,RandomForest,num__sig_int_qm,0.04568302932258282
MutualInformation,RandomForest,num__job_dens,0.03205678295549222
MutualInformation,RandomForest,num__isect_dens_em,0.029500809013129452
MutualInformation,RandomForest,num__dist_CBD,0.02600701633328283
MutualInformation,RandomForest,num__transit_stops_hm,0.022552783801118026
MutualInformation,RandomForest,num__bus_stops_hm,0.021923740789636423
MutualInformation,RandomForest,num__transit_stops_em,0.02073737859314652
MutualInformation,RandomForest,num__hh_hm,0.020104822025187177
MutualInformation,RandomForest,num__zch_em,0.016774886320450856
RandomForest,RandomForest,num__stv_mi_hm,0.10281985899872886
RandomForest,RandomForest,num__job_dens_em,0.0903490855356203
RandomForest,RandomForest,num__sig_int_qm,0.07228186655359362
RandomForest,RandomForest,num__job_dens_qm,0.0613201027175809
RandomForest,RandomForest,num__job_dens_hm,0.05918650493556075
RandomForest,RandomForest,num__sig_dens_hm,0.05521260110683706
RandomForest,RandomForest,num__isect_dens_hm,0.048304663799080785
RandomForest,RandomForest,num__sig_int_hm,0.047940944253222796
RandomForest,RandomForest,num__Retail Area_em,0.04732103517444624
RandomForest,RandomForest,num__sig_dens,0.04233279243990531
RandomForest,RandomForest,num__stv_ann,0.041975403752110764
RandomForest,RandomForest,num__zch_qm,0.04033471877776552
RandomForest,RandomForest,num__sig_dens_qm,0.03996532198472617
RandomForest,RandomForest,num__walk_comm_hm,0.03992491542868928
RandomForest,RandomForest,num__stv_mi,0.037986868088354525
RandomForest,RandomForest,num__sig_dens_em,0.03728255632196644
RandomForest,RandomForest,num__job_dens,0.03620519797418942
RandomForest,RandomForest,num__transit_stops_hm,0.03459937453012932
RandomForest,RandomForest,num__sig_int_em,0.0338399374236762
RandomForest,RandomForest,num__zch_hm,0.03081625020381572
