feature_selection_method,feature_name
All_features,num__Number of
All_features,num__stv_mi
All_features,num__stv_ann
All_features,num__swlk_cov
All_features,num__crossing_island
All_features,num__bus_stops
All_features,num__isect_dens
All_features,num__hh
All_features,num__zch
All_features,num__pop_dens
All_features,num__med_inc
All_features,num__job_dens
All_features,num__dist_CBD
All_features,num__Commercial Area
All_features,num__Retail Area
All_features,num__Park Area
All_features,num__swlk_len
All_features,num__sig_int
All_features,num__sig_dens
All_features,num__tstop_dens
All_features,num__walk_comm
All_features,num__stv_mi_em
All_features,num__swlk_len_em
All_features,num__bus_stops_em
All_features,num__sig_int_em
All_features,num__sig_dens_em
All_features,num__isect_dens_em
All_features,num__hh_em
All_features,num__zch_em
All_features,num__med_inc_em
All_features,num__pop_dens_em
All_features,num__walk_comm_em
All_features,num__job_dens_em
All_features,num__Commercial Area_em
All_features,num__Retail Area_em
All_features,num__Park Area_em
All_features,num__transit_stops_em
All_features,num__stv_mi_qm
All_features,num__swlk_len_qm
All_features,num__bus_stops_qm
All_features,num__sig_int_qm
All_features,num__sig_dens_qm
All_features,num__isect_dens_qm
All_features,num__hh_qm
All_features,num__zch_qm
All_features,num__med_inc_qm
All_features,num__pop_dens_qm
All_features,num__walk_comm_qm
All_features,num__job_dens_qm
All_features,num__Commercial Area_qm
All_features,num__Retail Area_qm
All_features,num__Park Area_qm
All_features,num__transit_stops_qm
All_features,num__stv_mi_hm
All_features,num__swlk_len_hm
All_features,num__bus_stops_hm
All_features,num__sig_int_hm
All_features,num__sig_dens_hm
All_features,num__isect_dens_hm
All_features,num__hh_hm
All_features,num__zch_hm
All_features,num__med_inc_hm
All_features,num__pop_dens_hm
All_features,num__walk_comm_hm
All_features,num__job_dens_hm
All_features,num__Commercial Area_hm
All_features,num__Retail Area_hm
All_features,num__Park Area_hm
All_features,num__transit_stops_hm
All_features,cat__season_spring
All_features,cat__season_summer
All_features,cat__season_winter
All_features,cat__class_type_mot-sec
All_features,cat__class_type_pri-pri
All_features,cat__class_type_pri-res
All_features,cat__class_type_pri-sec
All_features,cat__class_type_pri-ter
All_features,cat__class_type_res-res
All_features,cat__class_type_res-sec
All_features,cat__class_type_res-ter
All_features,cat__class_type_sec-sec
All_features,cat__class_type_sec-ter
All_features,cat__class_type_tru-tru
All_features,cat__speed_type_20 mph-25 mph
All_features,cat__speed_type_20 mph-30 mph
All_features,cat__speed_type_25 mph-30 mph
All_features,cat__speed_type_25 mph-55 mph
All_features,cat__speed_type_30 mph-30 mph
All_features,cat__speed_type_30 mph-35 mph
All_features,cat__speed_type_35 mph-35 mph
All_features,cat__crossing_class_signalized
All_features,cat__crossing_class_unmarked
MutualInformation,num__transit_stops_hm
MutualInformation,num__dist_CBD
MutualInformation,num__sig_dens_qm
MutualInformation,num__isect_dens_em
MutualInformation,num__stv_mi_hm
MutualInformation,num__walk_comm_hm
MutualInformation,num__sig_int_qm
MutualInformation,num__job_dens_qm
MutualInformation,num__hh_hm
MutualInformation,num__transit_stops_em
MutualInformation,num__job_dens_hm
MutualInformation,num__job_dens_em
MutualInformation,num__sig_int_hm
MutualInformation,num__sig_dens_hm
MutualInformation,num__zch_qm
MutualInformation,num__job_dens
MutualInformation,num__bus_stops_hm
MutualInformation,num__isect_dens_hm
MutualInformation,num__zch_em
MutualInformation,num__stv_mi
L1_Lasso,num__Number of
L1_Lasso,num__stv_mi
L1_Lasso,num__swlk_len
L1_Lasso,num__tstop_dens
L1_Lasso,num__sig_int_em
L1_Lasso,num__pop_dens_em
L1_Lasso,num__Commercial Area_em
L1_Lasso,num__Retail Area_em
L1_Lasso,num__transit_stops_qm
L1_Lasso,num__stv_mi_hm
L1_Lasso,num__job_dens_hm
L1_Lasso,cat__class_type_mot-sec
L1_Lasso,cat__class_type_pri-pri
L1_Lasso,cat__class_type_pri-sec
L1_Lasso,cat__class_type_sec-sec
L1_Lasso,cat__speed_type_20 mph-30 mph
L1_Lasso,cat__speed_type_25 mph-55 mph
L1_Lasso,cat__speed_type_35 mph-35 mph
RandomForest,num__job_dens_em
RandomForest,num__stv_mi_hm
RandomForest,num__sig_int_qm
RandomForest,num__sig_dens_qm
RandomForest,num__job_dens_qm
RandomForest,num__job_dens_hm
RandomForest,num__sig_int_hm
RandomForest,num__sig_dens_hm
RandomForest,num__isect_dens_hm
RandomForest,num__sig_dens_em
RandomForest,num__zch_hm
RandomForest,num__zch_qm
RandomForest,num__sig_int_em
RandomForest,num__Retail Area_em
RandomForest,num__stv_ann
RandomForest,num__job_dens
RandomForest,num__walk_comm_hm
RandomForest,num__sig_dens
RandomForest,num__stv_mi
RandomForest,num__transit_stops_hm
