fold,feature_selection_method,feature_name
1,All_features,num__Number of
1,All_features,num__stv_mi
1,All_features,num__stv_ann
1,All_features,num__swlk_cov
1,All_features,num__crossing_island
1,All_features,num__bus_stops
1,All_features,num__isect_dens
1,All_features,num__hh
1,All_features,num__zch
1,All_features,num__pop_dens
1,All_features,num__med_inc
1,All_features,num__job_dens
1,All_features,num__dist_CBD
1,All_features,num__Commercial Area
1,All_features,num__Retail Area
1,All_features,num__Park Area
1,All_features,num__swlk_len
1,All_features,num__sig_int
1,All_features,num__sig_dens
1,All_features,num__tstop_dens
1,All_features,num__walk_comm
1,All_features,num__stv_mi_em
1,All_features,num__swlk_len_em
1,All_features,num__bus_stops_em
1,All_features,num__sig_int_em
1,All_features,num__sig_dens_em
1,All_features,num__isect_dens_em
1,All_features,num__hh_em
1,All_features,num__zch_em
1,All_features,num__med_inc_em
1,All_features,num__pop_dens_em
1,All_features,num__walk_comm_em
1,All_features,num__job_dens_em
1,All_features,num__Commercial Area_em
1,All_features,num__Retail Area_em
1,All_features,num__Park Area_em
1,All_features,num__transit_stops_em
1,All_features,num__stv_mi_qm
1,All_features,num__swlk_len_qm
1,All_features,num__bus_stops_qm
1,All_features,num__sig_int_qm
1,All_features,num__sig_dens_qm
1,All_features,num__isect_dens_qm
1,All_features,num__hh_qm
1,All_features,num__zch_qm
1,All_features,num__med_inc_qm
1,All_features,num__pop_dens_qm
1,All_features,num__walk_comm_qm
1,All_features,num__job_dens_qm
1,All_features,num__Commercial Area_qm
1,All_features,num__Retail Area_qm
1,All_features,num__Park Area_qm
1,All_features,num__transit_stops_qm
1,All_features,num__stv_mi_hm
1,All_features,num__swlk_len_hm
1,All_features,num__bus_stops_hm
1,All_features,num__sig_int_hm
1,All_features,num__sig_dens_hm
1,All_features,num__isect_dens_hm
1,All_features,num__hh_hm
1,All_features,num__zch_hm
1,All_features,num__med_inc_hm
1,All_features,num__pop_dens_hm
1,All_features,num__walk_comm_hm
1,All_features,num__job_dens_hm
1,All_features,num__Commercial Area_hm
1,All_features,num__Retail Area_hm
1,All_features,num__Park Area_hm
1,All_features,num__transit_stops_hm
1,All_features,cat__season_spring
1,All_features,cat__season_summer
1,All_features,cat__season_winter
1,All_features,cat__class_type_mot-sec
1,All_features,cat__class_type_pri-pri
1,All_features,cat__class_type_pri-res
1,All_features,cat__class_type_pri-sec
1,All_features,cat__class_type_pri-ter
1,All_features,cat__class_type_res-res
1,All_features,cat__class_type_res-sec
1,All_features,cat__class_type_res-ter
1,All_features,cat__class_type_sec-sec
1,All_features,cat__class_type_sec-ter
1,All_features,cat__class_type_tru-tru
1,All_features,cat__speed_type_20 mph-25 mph
1,All_features,cat__speed_type_20 mph-30 mph
1,All_features,cat__speed_type_25 mph-30 mph
1,All_features,cat__speed_type_25 mph-55 mph
1,All_features,cat__speed_type_30 mph-30 mph
1,All_features,cat__speed_type_30 mph-35 mph
1,All_features,cat__speed_type_35 mph-35 mph
1,All_features,cat__crossing_class_signalized
1,All_features,cat__crossing_class_unmarked
1,MutualInformation,num__walk_comm_hm
1,MutualInformation,num__sig_int_qm
1,MutualInformation,num__sig_dens_qm
1,MutualInformation,num__sig_int_hm
1,MutualInformation,num__sig_dens_hm
1,MutualInformation,num__hh_hm
1,MutualInformation,num__job_dens_qm
1,MutualInformation,num__transit_stops_hm
1,MutualInformation,num__transit_stops_em
1,MutualInformation,num__dist_CBD
1,MutualInformation,num__job_dens_em
1,MutualInformation,num__job_dens_hm
1,MutualInformation,num__bus_stops_hm
1,MutualInformation,num__isect_dens_em
1,MutualInformation,num__Park Area_hm
1,MutualInformation,num__stv_mi_hm
1,MutualInformation,num__job_dens
1,MutualInformation,num__transit_stops_qm
1,MutualInformation,num__zch_em
1,MutualInformation,num__bus_stops_qm
1,L1_Lasso,num__Number of
1,L1_Lasso,num__swlk_len
1,L1_Lasso,num__sig_int_em
1,L1_Lasso,num__Retail Area_em
1,L1_Lasso,num__bus_stops_qm
1,L1_Lasso,num__stv_mi_hm
1,L1_Lasso,num__bus_stops_hm
1,L1_Lasso,num__job_dens_hm
1,L1_Lasso,num__Park Area_hm
1,L1_Lasso,cat__class_type_pri-sec
1,L1_Lasso,cat__class_type_pri-ter
1,L1_Lasso,cat__class_type_sec-sec
1,L1_Lasso,cat__speed_type_20 mph-30 mph
1,L1_Lasso,cat__crossing_class_unmarked
1,RandomForest,num__job_dens_em
1,RandomForest,num__zch_qm
1,RandomForest,num__sig_int_qm
1,RandomForest,num__zch_hm
1,RandomForest,num__sig_dens_qm
1,RandomForest,num__sig_dens_hm
1,RandomForest,num__job_dens_hm
1,RandomForest,num__transit_stops_hm
1,RandomForest,num__sig_int_hm
1,RandomForest,num__job_dens_qm
1,RandomForest,num__isect_dens_hm
1,RandomForest,num__job_dens
1,RandomForest,num__transit_stops_qm
1,RandomForest,num__swlk_len
1,RandomForest,num__sig_int_em
1,RandomForest,num__bus_stops_hm
1,RandomForest,num__sig_dens_em
1,RandomForest,num__dist_CBD
1,RandomForest,num__walk_comm_hm
1,RandomForest,num__stv_mi_qm
2,All_features,num__Number of
2,All_features,num__stv_mi
2,All_features,num__stv_ann
2,All_features,num__swlk_cov
2,All_features,num__crossing_island
2,All_features,num__bus_stops
2,All_features,num__isect_dens
2,All_features,num__hh
2,All_features,num__zch
2,All_features,num__pop_dens
2,All_features,num__med_inc
2,All_features,num__job_dens
2,All_features,num__dist_CBD
2,All_features,num__Commercial Area
2,All_features,num__Retail Area
2,All_features,num__Park Area
2,All_features,num__swlk_len
2,All_features,num__sig_int
2,All_features,num__sig_dens
2,All_features,num__tstop_dens
2,All_features,num__walk_comm
2,All_features,num__stv_mi_em
2,All_features,num__swlk_len_em
2,All_features,num__bus_stops_em
2,All_features,num__sig_int_em
2,All_features,num__sig_dens_em
2,All_features,num__isect_dens_em
2,All_features,num__hh_em
2,All_features,num__zch_em
2,All_features,num__med_inc_em
2,All_features,num__pop_dens_em
2,All_features,num__walk_comm_em
2,All_features,num__job_dens_em
2,All_features,num__Commercial Area_em
2,All_features,num__Retail Area_em
2,All_features,num__Park Area_em
2,All_features,num__transit_stops_em
2,All_features,num__stv_mi_qm
2,All_features,num__swlk_len_qm
2,All_features,num__bus_stops_qm
2,All_features,num__sig_int_qm
2,All_features,num__sig_dens_qm
2,All_features,num__isect_dens_qm
2,All_features,num__hh_qm
2,All_features,num__zch_qm
2,All_features,num__med_inc_qm
2,All_features,num__pop_dens_qm
2,All_features,num__walk_comm_qm
2,All_features,num__job_dens_qm
2,All_features,num__Commercial Area_qm
2,All_features,num__Retail Area_qm
2,All_features,num__Park Area_qm
2,All_features,num__transit_stops_qm
2,All_features,num__stv_mi_hm
2,All_features,num__swlk_len_hm
2,All_features,num__bus_stops_hm
2,All_features,num__sig_int_hm
2,All_features,num__sig_dens_hm
2,All_features,num__isect_dens_hm
2,All_features,num__hh_hm
2,All_features,num__zch_hm
2,All_features,num__med_inc_hm
2,All_features,num__pop_dens_hm
2,All_features,num__walk_comm_hm
2,All_features,num__job_dens_hm
2,All_features,num__Commercial Area_hm
2,All_features,num__Retail Area_hm
2,All_features,num__Park Area_hm
2,All_features,num__transit_stops_hm
2,All_features,cat__season_spring
2,All_features,cat__season_summer
2,All_features,cat__season_winter
2,All_features,cat__class_type_mot-sec
2,All_features,cat__class_type_pri-pri
2,All_features,cat__class_type_pri-res
2,All_features,cat__class_type_pri-sec
2,All_features,cat__class_type_pri-ter
2,All_features,cat__class_type_res-res
2,All_features,cat__class_type_res-sec
2,All_features,cat__class_type_res-ter
2,All_features,cat__class_type_sec-sec
2,All_features,cat__class_type_sec-ter
2,All_features,cat__class_type_tru-tru
2,All_features,cat__speed_type_20 mph-25 mph
2,All_features,cat__speed_type_20 mph-30 mph
2,All_features,cat__speed_type_25 mph-30 mph
2,All_features,cat__speed_type_25 mph-55 mph
2,All_features,cat__speed_type_30 mph-30 mph
2,All_features,cat__speed_type_30 mph-35 mph
2,All_features,cat__speed_type_35 mph-35 mph
