split,feature_selection_method,feature_name
Split01,MutualInformation,num__walk_comm_hm
Split01,MutualInformation,num__sig_int_qm
Split01,MutualInformation,num__sig_dens_qm
Split01,MutualInformation,num__sig_int_hm
Split01,MutualInformation,num__sig_dens_hm
Split01,MutualInformation,num__hh_hm
Split01,MutualInformation,num__job_dens_qm
Split01,MutualInformation,num__transit_stops_hm
Split01,MutualInformation,num__transit_stops_em
Split01,MutualInformation,num__dist_CBD
Split01,MutualInformation,num__job_dens_em
Split01,MutualInformation,num__job_dens_hm
Split01,MutualInformation,num__bus_stops_hm
Split01,MutualInformation,num__isect_dens_em
Split01,MutualInformation,num__Park Area_hm
Split01,MutualInformation,num__stv_mi_hm
Split01,MutualInformation,num__job_dens
Split01,MutualInformation,num__transit_stops_qm
Split01,MutualInformation,num__zch_em
Split01,MutualInformation,num__bus_stops_qm
Split01,L1_Lasso,num__sig_int_em
Split01,L1_Lasso,num__stv_mi_hm
Split01,L1_Lasso,num__job_dens_hm
Split01,L1_Lasso,num__Park Area_hm
Split01,L1_Lasso,num__transit_stops_hm
Split01,L1_Lasso,cat__class_type_sec-sec
Split01,RandomForest,num__job_dens_em
Split01,RandomForest,num__zch_qm
Split01,RandomForest,num__sig_int_qm
Split01,RandomForest,num__zch_hm
Split01,RandomForest,num__sig_dens_qm
Split01,RandomForest,num__sig_dens_hm
Split01,RandomForest,num__job_dens_hm
Split01,RandomForest,num__transit_stops_hm
Split01,RandomForest,num__sig_int_hm
Split01,RandomForest,num__job_dens_qm
Split01,RandomForest,num__isect_dens_hm
Split01,RandomForest,num__job_dens
Split01,RandomForest,num__transit_stops_qm
Split01,RandomForest,num__swlk_len
Split01,RandomForest,num__sig_int_em
Split01,RandomForest,num__bus_stops_hm
Split01,RandomForest,num__sig_dens_em
Split01,RandomForest,num__dist_CBD
Split01,RandomForest,num__walk_comm_hm
Split01,RandomForest,num__stv_mi_qm
Split02,MutualInformation,num__sig_dens_hm
Split02,MutualInformation,num__sig_int_hm
Split02,MutualInformation,num__walk_comm_hm
Split02,MutualInformation,num__stv_mi_hm
Split02,MutualInformation,num__isect_dens_em
Split02,MutualInformation,num__transit_stops_em
Split02,MutualInformation,num__stv_mi
Split02,MutualInformation,num__stv_ann
Split02,MutualInformation,num__dist_CBD
Split02,MutualInformation,num__stv_mi_em
Split02,MutualInformation,num__sig_int_qm
Split02,MutualInformation,num__Park Area_hm
Split02,MutualInformation,num__sig_dens_qm
Split02,MutualInformation,num__stv_mi_qm
Split02,MutualInformation,num__zch_em
Split02,MutualInformation,num__job_dens
Split02,MutualInformation,num__job_dens_hm
Split02,MutualInformation,num__bus_stops_hm
Split02,MutualInformation,num__job_dens_em
Split02,MutualInformation,num__med_inc_em
Split02,L1_Lasso,num__sig_int
Split02,L1_Lasso,num__stv_mi_em
Split02,L1_Lasso,num__bus_stops_hm
Split02,L1_Lasso,num__job_dens_hm
Split02,L1_Lasso,num__Park Area_hm
Split02,L1_Lasso,cat__speed_type_20 mph-30 mph
Split02,L1_Lasso,cat__crossing_class_unmarked
Split02,RandomForest,num__isect_dens_hm
Split02,RandomForest,num__transit_stops_hm
Split02,RandomForest,num__stv_mi_hm
Split02,RandomForest,num__stv_mi_qm
Split02,RandomForest,num__job_dens_em
Split02,RandomForest,num__stv_mi_em
Split02,RandomForest,num__job_dens_qm
Split02,RandomForest,num__sig_dens_hm
Split02,RandomForest,num__job_dens
Split02,RandomForest,num__job_dens_hm
Split02,RandomForest,num__sig_int_qm
Split02,RandomForest,num__sig_dens_qm
Split02,RandomForest,num__zch_hm
Split02,RandomForest,num__sig_int_hm
Split02,RandomForest,num__dist_CBD
Split02,RandomForest,num__sig_int
Split02,RandomForest,num__med_inc_qm
