model,R2_train_mean,R2_train_std,Corr_R2_val_mean,Corr_R2_val_std,MAPE_val_mean,MAPE_val_std,SMAPE_val_mean,SMAPE_val_std,RMSE_val_mean,RMSE_val_std,cv_strategy,feature_selection,n_features
RandomForest,0.9431469401738916,0.006326652366802718,0.6409295169193403,0.24567896840471729,82.71653497519922,33.74584769936043,52.689370828921916,9.990787185781878,83.56015767403292,14.524594215611769,5-Fold,L1_Lasso,20
HistGB_Poisson,0.97326586915522,0.0045805861081388765,0.6193939073369328,0.23483904216805102,55.516314195704396,11.810013641326899,47.80648604238603,9.137667051238008,85.09019334915692,16.694374264707196,5-Fold,L1_Lasso,20
RandomForest,0.9458247516196433,0.005770767509217289,0.7088385016880265,0.2521220677860452,86.55491191261169,43.90727717480341,52.674373684139525,13.392587071373388,78.87361330814134,33.68590349867786,10-Fold,L1_Lasso,20
HistGB_Poisson,0.9797478719206971,0.002965441294103005,0.6543715948877739,0.2581782954013998,60.14978220569433,17.68055492027277,50.01856966886232,10.010021244535968,81.60790783070861,32.891329079824295,10-Fold,L1_Lasso,20
RandomForest,0.9454337318895163,0.005169901625829828,0.672856635509714,0.23711625668474884,87.72294228586557,40.698037385587654,53.48323542462535,14.160247397643083,81.2704177171522,34.539085533017754,RepeatedKFold_5x10,L1_Lasso,20
HistGB_Poisson,0.9800538928440926,0.003041715602984143,0.6172490504096033,0.24689682003871544,64.27192896749285,25.629246191248942,52.657630739468324,14.380660138869713,85.46215978776874,37.267297491158274,RepeatedKFold_5x10,L1_Lasso,20
RandomForest,0.9454221562727896,0.0052206505952548735,0.6883712867401423,0.2318869599322536,89.28572582577841,44.505956992526755,53.29908935475947,14.004647118970937,79.3318748748721,35.73310996664537,RepeatedKFold_3x10,L1_Lasso,20
HistGB_Poisson,0.9800241939662798,0.0031910401529046638,0.6294540482612716,0.24133125654896148,63.32690617162622,21.87334205018602,52.144355107057066,14.715437549751096,83.10662968655723,36.60172605209391,RepeatedKFold_3x10,L1_Lasso,20
RandomForest,0.9292618348627301,0.010300458967939194,0.559962551560966,0.25396627281446627,109.55252966410217,54.173416122207776,60.81216592826731,8.674073232535612,91.47722160324835,17.50446521932805,5-Fold,Mutual_Information,20
HistGB_Poisson,0.9530719539207293,0.007881938469061765,0.5957509738814878,0.16094092853828562,93.50702985372374,29.8264478442203,62.67511635102996,7.5616136954427615,96.409775855534,10.73097540366207,5-Fold,Mutual_Information,20
