model,R2_train_mean,R2_train_std,Corr_R2_val_mean,Corr_R2_val_std,MAPE_val_mean,MAPE_val_std,SMAPE_val_mean,SMAPE_val_std,RMSE_val_mean,RMSE_val_std,best_params,feature_selection,n_features,cv_strategy
RandomForest,0.9536296109230943,0.005869869685265769,0.6319213263398875,0.23081683007231785,78.7481343106846,28.558135316348846,53.33680761596222,12.431743750386543,83.34736968355504,10.794790246964082,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 30}",L1_Lasso,10,5-Fold
HistGB_Poisson,0.9919833121743027,0.0018700716562571084,0.6064098316351318,0.2587756926219891,58.33136727021114,25.083583974747068,49.4514238059821,12.256015831061307,81.89666938120527,24.793245402250715,"{'min_samples_leaf': 10, 'max_iter': 300, 'max_depth': 5, 'learning_rate': 0.1, 'l2_regularization': 0.0}",L1_Lasso,10,5-Fold
HistGB_SquaredError,0.9035850257999891,0.04473245744452588,0.5995384027086981,0.2698578142611924,75.15189278463454,16.50169122371165,64.7617195597982,11.824232430617533,88.28132958500146,23.807282873363132,"{'min_samples_leaf': 10, 'max_iter': 300, 'max_depth': 10, 'learning_rate': 0.05, 'l2_regularization': 10.0}",L1_Lasso,10,5-Fold
ExtraTrees,0.9998069715963004,3.7727808276632155e-05,0.6481261972202962,0.21885321967920865,69.57234737352152,26.200474006342567,49.26354667983233,11.14126789220989,82.24239783151472,14.423573175055454,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 15}",L1_Lasso,10,5-Fold
GradientBoosting_Huber,0.971814838076168,0.004164738290853769,0.6044063611377861,0.2841803869753868,77.56531059298388,18.34104057295953,67.42603829079444,3.2606603659004274,87.03740729318521,27.174706401633863,"{'subsample': 1.0, 'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_depth': 5, 'learning_rate': 0.05, 'alpha': 0.9}",L1_Lasso,10,5-Fold
PoissonRegressor,0.712582528989965,0.019831755931410802,0.5382328417472002,0.2121777787302411,75.23354827573431,21.65398202994096,53.530558176480326,10.245186691383653,107.2206788875192,35.2212885339238,{'alpha': 10.0},L1_Lasso,10,5-Fold
Bagging_HistGB,0.8567320131063276,0.020553347205415122,0.5901294628033247,0.23700968109895074,71.16256578406417,18.789232489657103,51.13313225048248,9.313268359186436,88.10170345881657,15.78892563648745,"{'max_features': 1.0, 'max_samples': 0.8, 'n_estimators': 15}",L1_Lasso,10,5-Fold
RandomForest,0.9544838026815811,0.00384242022808399,0.7284682905346073,0.23993018006930586,76.14809529747025,31.208997215092154,53.04246795419895,13.841947883894813,77.80261302723781,30.92256211779742,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20}",L1_Lasso,10,10-Fold
HistGB_Poisson,0.9662984296407051,0.004153914087164241,0.665357293947472,0.29163444103251374,61.6976908313669,21.081612760447527,52.542938465477505,11.533371138240911,83.74738531394425,39.93923948462939,"{'min_samples_leaf': 10, 'max_iter': 800, 'max_depth': 7, 'learning_rate': 0.01, 'l2_regularization': 1.0}",L1_Lasso,10,10-Fold
HistGB_SquaredError,0.9301923029861975,0.0320349195147558,0.6937246141518513,0.2764505455356117,77.93819474380277,32.09278337812399,64.83985092878252,13.17075416622541,81.1832970108828,33.51995979714549,"{'min_samples_leaf': 10, 'max_iter': 800, 'max_depth': 10, 'learning_rate': 0.01, 'l2_regularization': 0.0}",L1_Lasso,10,10-Fold
ExtraTrees,0.9996819948357281,8.91641579733983e-05,0.7446550809260175,0.24101442871037954,68.21998578946018,32.05356141454232,49.31254275068953,14.329997378648478,75.94455025103454,33.57758643572916,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 15}",L1_Lasso,10,10-Fold
GradientBoosting_Huber,0.9936998827221644,0.003023161823558113,0.7249030986669214,0.28734844884526556,64.42056844383393,23.112986691059735,51.748067801549986,10.3779292732147,77.47974005890715,38.48378126912303,"{'subsample': 1.0, 'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 3, 'max_depth': 5, 'learning_rate': 0.1, 'alpha': 0.9}",L1_Lasso,10,10-Fold
PoissonRegressor,0.7066231454361213,0.016374913603495512,0.6513213960608484,0.22754295527497573,77.43795580173091,32.22321417164821,54.95813935819841,13.429697706276128,99.37229056371505,44.84506304089016,{'alpha': 10.0},L1_Lasso,10,10-Fold
