rank,feature,importance,config
1,num__stv_mi,79.69012987941133,"Best RMSE (HP_Tuning, HistGB_Poisson)"
2,num__sig_int_em,63.68735186447408,"Best RMSE (HP_Tuning, HistGB_Poisson)"
3,num__dist_CBD,62.34822438314062,"Best RMSE (HP_Tuning, HistGB_Poisson)"
4,num__Retail Area_em,54.27068576627821,"Best RMSE (HP_Tuning, HistGB_Poisson)"
5,num__zch_hm,49.060759464170324,"Best RMSE (HP_Tuning, HistGB_Poisson)"
6,num__swlk_len,41.54539048698253,"Best RMSE (HP_Tuning, HistGB_Poisson)"
7,num__swlk_len_hm,29.210794034682134,"Best RMSE (HP_Tuning, HistGB_Poisson)"
8,cat__season_fall,27.787209741089367,"Best RMSE (HP_Tuning, HistGB_Poisson)"
9,num__Commercial Area_qm,21.42779689922027,"Best RMSE (HP_Tuning, HistGB_Poisson)"
10,cat__crossing_class_unmarked,18.531128145067264,"Best RMSE (HP_Tuning, HistGB_Poisson)"
11,num__walk_comm_em,17.852685757673065,"Best RMSE (HP_Tuning, HistGB_Poisson)"
12,num__Retail Area,17.663140757940166,"Best RMSE (HP_Tuning, HistGB_Poisson)"
13,num__med_inc_qm,17.20567665178192,"Best RMSE (HP_Tuning, HistGB_Poisson)"
14,num__bus_stops_em,15.96712269513155,"Best RMSE (HP_Tuning, HistGB_Poisson)"
15,num__tstop_dens,14.956768749050818,"Best RMSE (HP_Tuning, HistGB_Poisson)"
16,num__Number of,13.432384433971588,"Best RMSE (HP_Tuning, HistGB_Poisson)"
17,cat__speed_type_20 mph-20 mph,3.5225435963150504,"Best RMSE (HP_Tuning, HistGB_Poisson)"
18,cat__class_type_pri-pri,0.0,"Best RMSE (HP_Tuning, HistGB_Poisson)"
19,cat__speed_type_25 mph-30 mph,0.0,"Best RMSE (HP_Tuning, HistGB_Poisson)"
20,cat__class_type_mot-sec,0.0,"Best RMSE (HP_Tuning, HistGB_Poisson)"
1,num__stv_mi,81.39785685960177,"Best SMAPE (CV_Strategy, HistGB_Poisson)"
2,num__walk_comm_em,41.294487077680245,"Best SMAPE (CV_Strategy, HistGB_Poisson)"
3,num__bus_stops_em,40.02890323903637,"Best SMAPE (CV_Strategy, HistGB_Poisson)"
4,num__Retail Area_em,36.26817093220089,"Best SMAPE (CV_Strategy, HistGB_Poisson)"
5,num__sig_int_em,34.865052398819564,"Best SMAPE (CV_Strategy, HistGB_Poisson)"
6,num__dist_CBD,34.2021714144182,"Best SMAPE (CV_Strategy, HistGB_Poisson)"
7,num__swlk_len,25.65041259129513,"Best SMAPE (CV_Strategy, HistGB_Poisson)"
8,cat__crossing_class_unmarked,25.092584185503387,"Best SMAPE (CV_Strategy, HistGB_Poisson)"
9,num__swlk_len_hm,23.9887797695225,"Best SMAPE (CV_Strategy, HistGB_Poisson)"
10,num__med_inc_qm,23.40263125406533,"Best SMAPE (CV_Strategy, HistGB_Poisson)"
11,num__Retail Area,20.42991382626392,"Best SMAPE (CV_Strategy, HistGB_Poisson)"
12,num__zch_hm,18.914941935441142,"Best SMAPE (CV_Strategy, HistGB_Poisson)"
13,num__Commercial Area_qm,15.16148691918128,"Best SMAPE (CV_Strategy, HistGB_Poisson)"
14,num__tstop_dens,10.510928451216397,"Best SMAPE (CV_Strategy, HistGB_Poisson)"
15,num__Number of,0.0,"Best SMAPE (CV_Strategy, HistGB_Poisson)"
16,cat__class_type_pri-pri,0.0,"Best SMAPE (CV_Strategy, HistGB_Poisson)"
17,cat__speed_type_25 mph-30 mph,0.0,"Best SMAPE (CV_Strategy, HistGB_Poisson)"
18,cat__season_fall,0.0,"Best SMAPE (CV_Strategy, HistGB_Poisson)"
19,cat__speed_type_20 mph-20 mph,0.0,"Best SMAPE (CV_Strategy, HistGB_Poisson)"
20,cat__class_type_mot-sec,0.0,"Best SMAPE (CV_Strategy, HistGB_Poisson)"
1,num__dist_CBD,90.22769507962032,"Best MAPE (HP_Tuning, HistGB_Poisson)"
2,num__stv_mi,86.13439388462193,"Best MAPE (HP_Tuning, HistGB_Poisson)"
3,num__zch_hm,64.9057156252167,"Best MAPE (HP_Tuning, HistGB_Poisson)"
4,num__Retail Area_em,55.87327571357521,"Best MAPE (HP_Tuning, HistGB_Poisson)"
5,num__swlk_len,40.5291872491711,"Best MAPE (HP_Tuning, HistGB_Poisson)"
6,num__swlk_len_hm,30.33289071772711,"Best MAPE (HP_Tuning, HistGB_Poisson)"
7,cat__season_fall,27.36741454675545,"Best MAPE (HP_Tuning, HistGB_Poisson)"
8,num__Commercial Area_qm,25.97556400086891,"Best MAPE (HP_Tuning, HistGB_Poisson)"
9,cat__crossing_class_unmarked,25.318165383184596,"Best MAPE (HP_Tuning, HistGB_Poisson)"
10,num__bus_stops_em,23.729550478213493,"Best MAPE (HP_Tuning, HistGB_Poisson)"
11,num__Retail Area,19.383576214430725,"Best MAPE (HP_Tuning, HistGB_Poisson)"
12,cat__speed_type_20 mph-20 mph,16.637787566335067,"Best MAPE (HP_Tuning, HistGB_Poisson)"
13,num__med_inc_qm,11.716377798584599,"Best MAPE (HP_Tuning, HistGB_Poisson)"
14,cat__class_type_pri-pri,0.0,"Best MAPE (HP_Tuning, HistGB_Poisson)"
15,cat__class_type_mot-sec,0.0,"Best MAPE (HP_Tuning, HistGB_Poisson)"
